0,773
1,99
2,120
3,255
4,441
5,272
6,173
7,597
8,842
9,640
10,972
11,703
12,1120
13,805
14,1029
15,1112
16,743
17,1004
18,853
19,1105
20,650
21,980
22,694
23,697
24,704
25,711
26,926
27,715
28,661
29,840
30,898
31,858
32,746
33,738
34,576
35,703
36,563
37,500
38,573
39,519
40,479
41,517
42,563
43,467
44,466
45,403
46,481
47,423
48,391
49,460
50,419
51,332
52,299
53,290
54,180
55,244
56,225
57,177
58,176
59,200
60,175
61,239
62,155
63,119
64,159
65,114
66,107
67,151
68,139
69,129
70,115
71,84
72,114
73,122
74,165
75,221
76,137
77,140
78,206
79,138
80,126
81,125
82,79
83,38
84,75
85,63
86,14
87,56
88,42
89,9
90,13
91,14
92,5
93,11
94,8
96,6
125,1
126,2
127,1
128,4
130,9
131,4
132,5
133,8
134,6
135,6
136,2
137,4
138,1
139,5
140,4
141,7
142,1
143,3
144,1
145,3
146,4
147,5
148,1
149,5
150,10
151,6
152,2
153,5
154,8
155,9
156,6
157,6
158,7
159,8
160,13
161,15
162,14
163,20
164,17
165,22
166,27
167,22
168,24
169,28
170,20
171,30
172,18
173,20
174,28
175,21
176,17
177,26
178,26
179,17
180,24
181,30
182,22
183,15
184,32
185,23
186,22
187,21
188,32
189,49
190,66
191,62
192,49
193,69
194,66
195,58
196,72
197,56
198,62
199,96
200,63
201,42
202,32
203,45
204,30
205,11
206,7
207,20
208,4
209,10
210,4
211,6
212,1
